ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1982-21702020000400203-scl","LARGE-SCALE CARTOGRAPHIC REPRESENTATION OF RELIEF FEATURES FROM SANDYZATION PROCESS","Costa, Bibiana Salvador Cabral da, Sluter, Claudia Robbi, Iescheck, Andrea Lopes, Rodrigues, Éder Luís da Silva","Boletim de Ciências Geodésicas; 26(4); -","Boletim de Ciências Geodésicas","Inglês","2020","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702020000400203&lang=pt" 
"S1982-21702014000300669-scl","AUTOMAÇÃO DOS OPERADORES DE AGREGAÇÃO E DESLOCAMENTO PARA GENERALIZAÇÃO CARTOGRÁFICA NA REPRESENTAÇÃO DE REDES SOCIAIS","Pombo, Renan Martins, Delazari, Luciene Stamato","Boletim de Ciências Geodésicas; 20(3); 669-682","Boletim de Ciências Geodésicas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702014000300669&lang=pt" 
"S1982-21702010000300005-scl","Generalização cartográfica aplicada à representação de redes sociais","Pombo, Renan Martins, Sluter, Claudia Robbi","Boletim de Ciências Geodésicas; 16(3); 445-455","Boletim de Ciências Geodésicas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702010000300005&lang=pt" 
"S1982-21702010000300002-scl","Generalização cartográfica das cartas do mapeamento urbano nas escalas 1:2.000, 1:5.000 e 1:10.000","Taura, Tatiana Ayako, Sluter, Claudia Robbi, Firkowski, Henrique","Boletim de Ciências Geodésicas; 16(3); 386-402","Boletim de Ciências Geodésicas","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702010000300002&lang=pt" 
